"page_url","page_name","event_category","event_action","event_content","page_type","site_section","page_language"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","","","","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","radio","international service: Yes","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","radio","international service: No","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","radio","international service: Yes","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","checkbox","international service: Yes","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","checkbox","international service: Yes","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","checkbox","international service: Yes","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","checkbox","international service: Yes","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","checkbox","international service: Yes","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","checkbox","international service: Yes","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","dropdown","oversea destination: AU","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","dropdown","oversea destination: HK","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","radio","apply CAT I account","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","radio","apply cn account and oversea account","application","wechat","zh_cn"
"/dual-account-opening/step-overview","wechat:dual account opening:step overview","content","radio","apply cn account and oversea account","application","wechat","zh_cn"
"/dual-account-opening/step-overview","wechat:dual account opening:step overview","content","checkbox","agree authorize third party: Yes","application","wechat","zh_cn"
"/dual-account-opening/step-overview","wechat:dual account opening:step overview","content","checkbox","agree personal data collection: Yes","application","wechat","zh_cn"
"/dual-account-opening/otp-registration","wechat:dual account opening:otp registration","content","checkbox","agree personal data collection: Yes","application","wechat","zh_cn"
"/dual-account-opening/otp-registration","wechat:dual account opening:otp registration","content","button","send","application","wechat","zh_cn"
"/dual-account-opening/otp-registration","wechat:dual account opening:otp registration","content","button","send","application","wechat","zh_cn"
"/dual-account-opening/otp-registration","wechat:dual account opening:otp registration","content","button","send","application","wechat","zh_cn"
"/dual-account-opening/otp-registration","wechat:dual account opening:otp registration","content","button","send","application","wechat","zh_cn"
"/dual-account-opening/otp-registration","wechat:dual account opening:otp registration","content","button","resend","application","wechat","zh_cn"
"/dual-account-opening/otp-registration","wechat:dual account opening:otp registration","error","registration","error message: CLIENT_SERVICE_ERR","application","wechat","zh_cn"
"/dual-account-opening/personal-details","wechat:dual account opening:personal details","error","registration","error message: CLIENT_SERVICE_ERR","application","wechat","zh_cn"
"/dual-account-opening/contact-details","wechat:dual account opening:contact details","error","registration","error message: CLIENT_SERVICE_ERR","application","wechat","zh_cn"
"/dual-account-opening/employment-details","wechat:dual account opening:employment details","error","registration","error message: CLIENT_SERVICE_ERR","application","wechat","zh_cn"
"/dual-account-opening/employment-details","wechat:dual account opening:employment details","content","dropdown","ocupation: general_staff","application","wechat","zh_cn"
"/dual-account-opening/employment-details","wechat:dual account opening:employment details","content","dropdown","country of tax residency: cn","application","wechat","zh_cn"
"/dual-account-opening/cn-account-usage","wechat:dual account opening:cn account usage","content","dropdown","country of tax residency: cn","application","wechat","zh_cn"
"/dual-account-opening/cn-account-usage","wechat:dual account opening:cn account usage","content","link","deposit contributers: no","application","wechat","zh_cn"
"/dual-account-opening/cn-account-usage","wechat:dual account opening:cn account usage","content","checkbox","remuneration purpose","application","wechat","zh_cn"
"/dual-account-opening/cn-account-usage","wechat:dual account opening:cn account usage","content","checkbox","deposit purpose","application","wechat","zh_cn"
"/dual-account-opening/cn-account-usage","wechat:dual account opening:cn account usage","content","checkbox","investment purpose","application","wechat","zh_cn"
"/dual-account-opening/cn-account-usage","wechat:dual account opening:cn account usage","content","checkbox","family account purpose","application","wechat","zh_cn"
"/dual-account-opening/cn-account-usage","wechat:dual account opening:cn account usage","content","checkbox","cards and loans purpose","application","wechat","zh_cn"
"/dual-account-opening/cn-account-usage","wechat:dual account opening:cn account usage","content","checkbox","other purpose","application","wechat","zh_cn"
"/dual-account-opening/cn-account-usage","wechat:dual account opening:cn account usage","content","link","deposit contributers: yes","application","wechat","zh_cn"
"/dual-account-opening/cn-account-usage","wechat:dual account opening:cn account usage","content","textbox","contribution amount: 1","application","wechat","zh_cn"
"/dual-account-opening/cn-account-usage","wechat:dual account opening:cn account usage","content","textbox","contribution amount: 10","application","wechat","zh_cn"
"/dual-account-opening/cn-account-usage","wechat:dual account opening:cn account usage","content","textbox","contribution amount: 100","application","wechat","zh_cn"
"/dual-account-opening/cn-account-usage","wechat:dual account opening:cn account usage","content","textbox","contribution amount: 1000","application","wechat","zh_cn"
"/dual-account-opening/terms-and-conditions","wechat:dual account opening:terms and conditions","content","textbox","contribution amount: 1000","application","wechat","zh_cn"
"/dual-account-opening/terms-and-conditions","wechat:dual account opening:terms and conditions","content","radio","mailing address: home","application","wechat","zh_cn"
"/dual-account-opening/terms-and-conditions","wechat:dual account opening:terms and conditions","content","dropdown","branch: 广州分行","application","wechat","zh_cn"
"/dual-account-opening/hk-account-eligibility","wechat:dual account opening:hk account eligibility","content","dropdown","branch: 广州分行","application","wechat","zh_cn"
"/dual-account-opening/hk-account-eligibility","wechat:dual account opening:hk account eligibility","content","link","valid entry-exit permit more than 3 months: no","application","wechat","zh_cn"
"/dual-account-opening/hk-account-eligibility","wechat:dual account opening:hk account eligibility","content","link","valid visa label more than 3 months: no","application","wechat","zh_cn"
"/dual-account-opening/hk-account-eligibility","wechat:dual account opening:hk account eligibility","content","link","valid entry-exit permit more than 3 months: yes","application","wechat","zh_cn"
"/dual-account-opening/hk-account-eligibility","wechat:dual account opening:hk account eligibility","content","link","valid visa label more than 3 months: yes","application","wechat","zh_cn"
"/dual-account-opening/hk-account-eligibility","wechat:dual account opening:hk account eligibility","content","checkbox","Full Referral: Yes","application","wechat","zh_cn"
"/dual-account-opening/hk-account-usage","wechat:dual account opening:hk account usage","content","checkbox","Full Referral: Yes","application","wechat","zh_cn"
"/dual-account-opening/hk-account-usage","wechat:dual account opening:hk account usage","content","checkbox","remuneration purpose","application","wechat","zh_cn"
"/dual-account-opening/hk-account-usage","wechat:dual account opening:hk account usage","content","checkbox","deposit purpose","application","wechat","zh_cn"
"/dual-account-opening/hk-account-usage","wechat:dual account opening:hk account usage","content","checkbox","other purpose","application","wechat","zh_cn"
"/dual-account-opening/hk-account-usage","wechat:dual account opening:hk account usage","content","checkbox","family account purpose","application","wechat","zh_cn"
"/dual-account-opening/hk-account-usage","wechat:dual account opening:hk account usage","content","textbox","contribution amount: 1","application","wechat","zh_cn"
"/dual-account-opening/hk-account-usage","wechat:dual account opening:hk account usage","content","textbox","contribution amount: ","application","wechat","zh_cn"
"/dual-account-opening/hk-account-usage","wechat:dual account opening:hk account usage","content","textbox","contribution amount: 2","application","wechat","zh_cn"
"/dual-account-opening/hk-account-usage","wechat:dual account opening:hk account usage","content","textbox","contribution amount: 20","application","wechat","zh_cn"
"/dual-account-opening/hk-account-usage/atm-pin","wechat:dual account opening:hk account usage:atm pin","content","textbox","contribution amount: 20","application","wechat","zh_cn"
"/dual-account-opening/hk-account-usage/atm-pin","wechat:dual account opening:hk account usage:atm pin","content","checkbox","email","application","wechat","zh_cn"
"/dual-account-opening/hk-account-usage/atm-pin","wechat:dual account opening:hk account usage:atm pin","content","checkbox","sms","application","wechat","zh_cn"
"/dual-account-opening/hk-account-usage/atm-pin","wechat:dual account opening:hk account usage:atm pin","content","checkbox","phone","application","wechat","zh_cn"
"/dual-account-opening/hk-account-usage/atm-pin","wechat:dual account opening:hk account usage:atm pin","content","checkbox","mail","application","wechat","zh_cn"
"/dual-account-opening/confirmation","wechat:dual account opening:confirmation","content","checkbox","mail","application","wechat","zh_cn"
"/dual-account-opening/personal-details","wechat:dual account opening:personal details","","","","application","wechat","zh_cn"
"/dual-account-opening/technical-error","wechat:dual account opening:technical error","error","system","technical error","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","","","","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","radio","international service: Yes","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","checkbox","international service: Yes","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","dropdown","oversea destination: HK","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","radio","apply cn account and oversea account","application","wechat","zh_cn"
"/dual-account-opening/step-overview","wechat:dual account opening:step overview","content","radio","apply cn account and oversea account","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","radio","international service: Yes","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","checkbox","international service: Yes","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","dropdown","oversea destination: HK","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","radio","apply cn account and oversea account","application","wechat","zh_cn"
"/dual-account-opening/step-overview","wechat:dual account opening:step overview","content","radio","apply cn account and oversea account","application","wechat","zh_cn"
"/dual-account-opening/step-overview","wechat:dual account opening:step overview","content","checkbox","agree authorize third party: Yes","application","wechat","zh_cn"
"/dual-account-opening/step-overview","wechat:dual account opening:step overview","content","checkbox","agree personal data collection: Yes","application","wechat","zh_cn"
"/dual-account-opening/otp-registration","wechat:dual account opening:otp registration","content","checkbox","agree personal data collection: Yes","application","wechat","zh_cn"
